_Glon,_Glat,recno,3FGL,VHE,Cln,CName,RAJ2000,DEJ2000,Sep,PosErr,SpCl,SEDCl,lognu,lognuRf,z,Prob,LR-RG,LR-XGP,logCpt,FRad,n_FRad,FX,Vmag1,Vmag2,ARO,AOX,Simbad
175.6005827,-66.6946651,165,J0206.4-1150,0,Y,PMN J0206-1150,31.60869,-11.84437,0.005,0.061,fsrq,LSP,12.76,13.185,1.663,0.999,0.882,0.8,0.961,168.62,N,7.9,,19.32,0.7,0.93,Simbad
254.5099183,-70.2630511,166,J0207.9-3846,0,Y,PKS 0205-391,31.81504,-38.95085,0.22,0.183,bcu I,LSP,13.495,13.593,0.254,0.842,0.0,0.0,0.205,274.81,N,,17.489,,0.53,1.55,Simbad
292.8673355,-46.9749796,167,J0208.0-6838,0,Y,PKS 0206-688,31.96222,-68.63199,0.028,0.085,bll,ISP,14.25,14.25,,0.997,0.912,0.0,,489.2,S,,19.481,,0.84,1.13,Simbad
140.2104859,-24.8812972,168,J0208.6+3522,0,Y,MS 0205.7+3509,32.15901,35.38689,0.01,0.045,bll,HSP,15.979,16.099,0.318,1.0,0.0,0.933,-0.269,4.95,N,69.9,19.435,,0.4,0.55,Simbad
278.3661603,-60.7624315,169,J0209.4-5229,0,Y,1RXS J020922.2-522920,32.33983,-52.48972,0.02,0.024,bll,HSP,16.1,16.1,,1.0,0.844,0.96,,78.7,S,155.0,15.402,,0.24,1.18,Simbad
137.153002,-15.8824329,170,J0209.5+4449,0,Y,1RXS J020917.6+444951,32.32055,44.82906,0.047,0.065,bll,HSP,16.7,16.7,,0.998,0.0,0.934,,30.69,N,183.0,17.433,,0.32,0.89,Simbad
276.1016928,-61.7781391,171,J0210.7-5101,0,Y,PKS 0208-512,32.6925,-51.01719,0.011,0.023,bcu I,LSP,13.12,13.422,1.003,1.0,0.985,0.909,0.232,3371.0,S,16.2,15.961,,0.61,1.45,Simbad
152.5779009,-47.3675173,172,J0211.2+1051,0,Y,MG1 J021114+1051,32.80491,10.85967,0.012,0.022,bll,ISP,14.12,14.12,,1.0,0.948,0.0,,318.87,N,,15.806,,0.44,1.44,Simbad
169.4788808,-62.1592827,173,J0211.2-0649,0,Y,NVSS J021116-064422,32.82062,-6.73886,0.09,0.131,bcu II,ISP,14.6,14.6,,0.948,0.0,0.0,-0.627,22.26,N,,16.333,16.6,0.26,,Simbad
242.5329757,-70.966768,174,J0212.8-3504,0,Y,RBS 0292,33.1271,-35.05911,0.066,0.073,bll,HSP,17.1,17.244,0.393,0.99,0.0,0.834,-0.399,19.42,N,33.6,19.649,,0.59,0.54,Simbad
146.4194295,-36.3817413,175,J0213.0+2245,0,Y,MG3 J021252+2246,33.22015,22.74785,0.045,0.041,bll,HSP,15.55,15.714,0.459,0.995,0.0,0.876,-0.51,67.43,N,40.1,16.775,16.5,0.32,1.27,Simbad
218.1827021,-71.9036907,176,J0213.1-2720,0,Y,PMN J0212-2719,33.2305,-27.30504,0.066,0.12,bcu II,LSP,13.81,13.81,,0.972,0.0,0.0,-0.097,49.01,N,,,,,,Simbad
283.8030216,-55.5794314,177,J0214.7-5823,0,Y,PMN J0214-5822,33.54267,-58.36922,0.08,0.106,bcu II,LSP,13.705,13.705,,0.952,0.0,0.0,0.794,121.4,S,,17.159,,0.47,,Simbad
293.0080979,-45.2206451,178,J0216.1-7016,0,Y,PMN J0215-7014,33.91296,-70.25022,0.049,0.113,bcu II,LSP,12.76,12.76,,0.973,0.0,0.0,2.019,54.2,S,,,,,,Simbad
176.9941454,-63.8009471,179,J0216.6-1019,0,Y,PMN J0216-1017,34.16198,-10.28417,0.045,0.119,bcu II,LSP,12.655,12.655,,0.991,0.902,0.0,0.444,300.0,A,,,19.9,0.71,,Simbad
290.3633874,-48.3791543,180,J0217.0-6635,0,Y,RBS 0300,34.21196,-66.61183,0.027,0.059,bll,HSP,15.676,15.676,,0.998,0.828,0.909,,103.6,S,57.7,17.602,,0.48,0.98,Simbad
174.0788068,-62.3799252,181,J0217.1-0833,0,Y,PKS 0214-085,34.26109,-8.34788,0.219,0.177,fsrq,LSP,12.96,13.166,0.607,0.945,0.0,0.0,-0.017,417.98,N,,19.233,17.66,0.65,1.25,Simbad
156.1262697,-48.6424502,182,J0217.2+0837,0,Y,ZS 0214+083,34.32135,8.61775,0.004,0.045,bll,LSP,13.76,13.795,0.085,1.0,0.927,0.886,-0.88,315.54,N,19.7,15.395,,0.5,1.4,Simbad
128.9272209,11.9642327,183,J0217.5+7349,0,Y,S5 0212+73,34.37839,73.82573,0.004,0.135,fsrq,LSP,12.2,12.727,2.367,0.999,0.95,0.8,3.048,2271.69,N,25.2,19.436,17.54,0.67,1.21,Simbad
162.1399783,-54.4131575,184,J0217.8+0143,0,Y,PKS 0215+015,34.45398,1.74714,0.02,0.025,fsrq,LSP,13.12,13.554,1.715,1.0,0.959,0.0,-0.411,750.89,N,,19.123,15.49,0.54,1.6,Simbad
141.8466351,-22.9624961,185,J0218.9+3642,0,Y,MG3 J021846+3641,34.70851,36.67849,0.042,0.074,bcu II,LSP,13.12,13.12,,0.993,0.832,0.0,1.828,129.97,N,,19.867,,0.65,,Simbad
147.0329974,-33.9849034,186,J0219.0+2440,0,Y,87GB 021610.9+243205,34.75166,24.75572,0.078,0.074,bcu II,HSP,15.8,15.8,,0.926,0.0,0.0,-0.842,49.9,N,,17.237,,0.37,,Simbad
142.6016733,-23.4868202,187,J0221.1+3556,0,Y,B 0218+357,35.27278,35.93715,0.007,0.021,fsrq,LSP,12.875,13.164,0.944,1.0,0.981,0.0,0.8,1707.78,N,,,,,,Simbad
190.193603,-66.3746698,188,J0222.1-1616,0,Y,PKS 0219-164,35.50302,-16.2546,0.037,0.099,fsrq,ISP,14.35,14.58,0.698,0.997,0.909,0.0,1.663,590.29,N,4.88,18.007,,0.68,1.25,Simbad
140.14296,-16.7669198,189,J0222.6+4301,1,Y,3C 66A,35.66505,43.0355,0.007,0.009,bll,HSP,14.93,15.09,0.444,1.0,0.988,0.969,0.005,2303.7,N,63.9,14.612,,0.4,1.49,Simbad
181.0909857,-63.2492817,190,J0222.9-1117,0,Y,1RXS J022314.6-111741,35.80939,-11.29402,0.068,0.074,bll,HSP,15.6,15.6,0.04211,0.986,0.0,0.0,-0.397,14.18,N,,18.514,,0.44,1.16,Simbad
297.9175698,-36.5431342,191,J0224.1-7941,0,Y,PMN J0223-7940,35.9155,-79.67061,0.032,0.075,bcu II,HSP,15.8,15.8,,0.99,0.0,0.0,-0.266,58.5,S,,18.012,,0.44,,Simbad
215.3464762,-69.045891,192,J0225.2-2602,0,Y,PMN J0225-2603,36.29537,-26.05522,0.023,0.135,bcu II,LSP,13.72,13.72,,0.992,0.0,0.0,2.15,115.13,N,,,,,,Simbad
