_Glon,_Glat,recno,3FGL,VHE,Cln,CName,RAJ2000,DEJ2000,Sep,PosErr,SpCl,SEDCl,lognu,lognuRf,z,Prob,LR-RG,LR-XGP,logCpt,FRad,n_FRad,FX,Vmag1,Vmag2,ARO,AOX,Simbad
243.4530303,-19.967263,436,J0627.0-3529,0,Y,PKS 0625-35,96.77804,-35.48759,0.005,0.033,rdg,HSP,15.755,15.755,0.05494,1.0,0.98,0.961,,2372.66,N,150.0,9.515,,0.09,2.14,Simbad
224.1491931,-12.0420806,437,J0627.9-1517,0,Y,NVSS J062753-152003,96.97175,-15.33437,0.039,0.099,bcu III,-,,,,0.0,0.0,0.856,,43.38,N,42.2,,,,,Simbad
272.4096086,-26.4506413,438,J0629.0-6248,0,Y,PKS 0628-627,97.23953,-62.81243,0.016,0.082,bll,LSP,12.62,12.62,,0.995,0.92,0.0,,528.0,S,,20.897,,0.96,,Simbad
228.640291,-13.6616062,439,J0629.4-1959,0,Y,PKS 0627-199,97.34901,-19.98881,0.009,0.028,bll,LSP,12.795,13.23,1.724,1.0,0.963,0.0,0.299,677.03,N,,20.529,,0.75,1.03,Simbad
145.774204,23.2696113,440,J0630.3+6906,0,Y,GB6 J0629+6900,97.34264,69.00552,0.138,0.194,bcu II,HSP,15.0,15.0,,0.954,0.0,0.0,-0.267,43.77,N,,17.279,,0.34,1.77,Simbad
232.687825,-14.9904938,441,J0630.9-2406,0,Y,TXS 0628-240,97.74801,-24.11283,0.003,0.019,bll,HSP,15.15,15.5,1.238,1.0,0.932,0.95,0.004,105.82,N,36.4,16.472,,0.39,1.32,Simbad
232.5677353,-13.943491,442,J0634.7-2334,0,N,PMN J0634-2335,98.74584,-23.58665,0.064,0.155,fsrq,LSP,12.41,12.814,1.535,0.997,0.875,0.0,0.806,566.71,N,,,,,,Simbad
286.3683597,-27.1584176,443,J0635.7-7517,0,Y,PKS 0637-75,98.94378,-75.27134,0.021,0.061,fsrq,LSP,12.83,13.048,0.653,1.0,0.982,0.922,1.349,5377.0,S,79.2,15.9,,0.7,1.17,Simbad
141.2718443,25.0647552,444,J0638.6+7324,0,Y,S5 0633+73,99.84151,73.41612,0.054,0.112,fsrq,LSP,12.305,12.76,1.85,0.998,0.919,0.0,1.228,903.7,N,,18.238,,0.74,1.28,Simbad
263.3293195,-22.7868144,445,J0643.4-5358,0,Y,PMN J0643-5358,100.83375,-53.97953,0.012,0.089,bcu II,LSP,12.97,12.97,,0.994,0.0,0.0,0.769,51.1,S,,,,,,Simbad
277.5314887,-25.5237217,446,J0644.3-6713,0,Y,PKS 0644-671,101.11685,-67.21593,0.013,0.02,bcu II,LSP,13.7,13.7,,1.0,0.932,0.0,0.313,222.8,S,,,,,,Simbad
238.444353,-14.0556995,447,J0644.6-2853,0,Y,1RXS J064444.2-285120,101.18248,-28.85469,0.046,0.079,bcu II,HSP,16.2,16.2,,0.0,0.0,0.887,-0.764,53.47,N,62.4,18.235,,0.41,0.99,Simbad
248.4069555,-17.5884661,448,J0645.9-3914,0,N,PKS 0644-390,101.62884,-39.06086,0.207,0.427,fsrq,LSP,13.075,13.301,0.681,0.965,0.0,0.0,2.668,314.94,N,,18.253,,0.63,,Simbad
264.3751756,-22.5781633,449,J0646.4-5452,0,N,PMN J0646-5451,101.61933,-54.85461,0.026,0.115,bcu II,LSP,13.635,13.635,,0.988,0.903,0.0,1.138,527.4,S,,,,,,Simbad
261.030269,-21.5706574,450,J0647.0-5134,0,Y,1ES 0646-515,101.79075,-51.597,0.031,0.146,bcu II,HSP,16.45,16.45,,0.995,0.0,0.926,-1.077,70.8,S,301.0,16.649,,0.32,0.9,Simbad
253.6347736,-19.3578357,451,J0647.1-4415,0,Y,SUMSS J064648-441929,101.70218,-44.32484,0.085,0.121,bcu II,ISP,14.055,14.055,,0.97,0.0,0.0,0.349,48.5,S,,20.18,,0.57,1.41,Simbad
270.8654773,-23.9393381,452,J0647.6-6058,0,Y,PMN J0647-6058,101.92022,-60.96807,0.006,0.048,bcu I,LSP,13.11,13.11,,0.998,0.862,0.0,0.943,110.3,S,,,,,,Simbad
240.5383439,-14.1082674,453,J0648.1-3045,0,Y,PKS 0646-306,102.05874,-30.73879,0.027,0.078,fsrq,LSP,12.27,12.603,1.153,0.999,0.939,0.0,1.881,898.56,N,,18.905,,0.75,1.35,Simbad
241.5211174,-14.2125464,454,J0649.6-3138,0,Y,1RXS J064933.8-313914,102.38911,-31.65479,0.022,0.037,bcu II,HSP,18.0,18.0,,0.997,0.0,0.952,-0.483,7.53,N,142.0,18.822,,0.28,0.79,Simbad
190.2824433,10.9956327,455,J0650.7+2503,1,Y,1ES 0647+250,102.69371,25.0499,0.014,0.021,bll,HSP,16.34,16.42,0.203,1.0,0.912,0.978,-0.492,96.79,N,423.0,15.82,,0.28,1.02,Simbad
175.9333967,17.064828,456,J0651.3+4014,0,Y,RX J0651.0+4013,102.77265,40.22716,0.047,0.069,bcu II,HSP,15.45,15.45,,0.991,0.0,0.855,-0.653,32.2,N,35.6,17.417,,0.35,1.2,Simbad
257.7820262,-19.7663006,457,J0652.0-4808,0,Y,1RXS J065201.0-480858,103.00175,-48.14986,0.018,0.064,bcu II,HSP,16.2,16.2,,0.0,0.0,0.87,-0.249,71.7,S,25.2,18.536,,0.49,1.03,Simbad
187.5747705,12.931442,458,J0653.6+2817,0,Y,GB6 J0653+2816,103.43449,28.26314,0.033,0.058,bcu II,ISP,14.195,14.195,,0.994,0.0,0.0,0.213,33.58,N,,17.798,16.51,0.28,,Simbad
171.2097474,19.3818606,459,J0654.4+4514,0,Y,B3 0650+453,103.59881,45.23987,0.008,0.027,fsrq,LSP,12.795,13.081,0.933,1.0,0.951,0.0,0.65,382.93,N,,,,,,Simbad
165.679957,21.1062232,460,J0654.4+5042,0,Y,GB6 J0654+5042,103.59205,50.70663,0.012,0.032,fsrq,ISP,13.8,14.153,1.253,1.0,0.923,0.0,0.327,197.96,N,,15.655,,0.39,1.8,Simbad
173.9372731,18.8014995,461,J0656.4+4232,0,Y,4C +42.22,104.04443,42.61743,0.086,0.082,bll,HSP,15.37,15.395,0.059,0.991,0.906,0.804,-1.049,933.72,N,37.6,10.982,,0.07,2.15,Simbad
268.5536948,-22.011366,462,J0658.3-5832,0,N,PMN J0658-5824,104.53858,-58.41786,0.132,0.174,bcu II,LSP,13.74,13.74,,0.868,0.822,0.0,1.124,388.0,S,,20.881,,0.71,,Simbad
268.8222212,-22.073959,463,J0658.3-5832,0,N,PMN J0658-5840,104.55741,-58.67432,0.128,0.174,bcu II,LSP,13.74,13.74,,0.955,0.836,0.0,1.124,436.4,S,,14.765,,0.31,,Simbad
273.6173804,-23.0851902,464,J0700.3-6310,0,Y,SUMSS J065958-631238,104.9945,-63.21072,0.05,0.076,bcu II,ISP,14.23,14.23,,0.979,0.0,0.0,-0.059,55.7,S,,,,,,Simbad
276.7686192,-23.7594891,465,J0700.6-6610,0,Y,PKS 0700-661,105.13022,-66.17923,0.013,0.023,bll,ISP,14.49,14.49,,1.0,0.939,0.906,,294.5,S,12.6,15.195,,0.35,1.68,Simbad
256.8068306,-17.7056735,466,J0701.4-4634,0,Y,PKS 0700-465,105.39394,-46.57684,0.03,0.051,fsrq,LSP,13.115,13.376,0.822,0.999,0.926,0.0,0.756,477.4,S,8.69,19.054,,0.76,1.01,Simbad
249.84795,-14.6574536,467,J0703.4-3914,0,Y,1RXS J070312.7-391417,105.80268,-39.23858,0.045,0.071,bcu II,ISP,14.05,14.05,,0.99,0.0,0.0,0.115,37.1,N,5.0,17.127,,0.29,1.59,Simbad
259.2551809,-17.8099601,468,J0706.1-4849,0,Y,PMN J0705-4847,106.49472,-48.79015,0.046,0.099,bcu II,LSP,12.795,12.795,,0.981,0.838,0.0,1.51,192.8,S,,,,,,Simbad
179.4924024,18.9913461,469,J0706.5+3744,0,Y,GB6 J0706+3744,106.63207,37.74345,0.006,0.026,bll,HSP,15.25,15.25,,0.999,0.863,0.916,,27.44,N,18.5,17.165,,0.35,1.31,Simbad
136.7746739,27.2747203,470,J0707.0+7741,0,Y,NVSS J070651+774137,106.71389,77.69361,0.01,0.03,bll,ISP,14.4,14.4,,0.999,0.861,0.0,,38.14,N,,17.751,,0.4,1.58,Simbad
155.10612,25.3788633,471,J0707.2+6101,0,Y,TXS 0702+612,106.75236,61.1696,0.143,0.309,bll,-,,,,0.966,0.0,0.0,,425.2,N,,16.875,,0.53,,Simbad
194.2410073,13.8082142,472,J0708.9+2239,0,Y,GB6 J0708+2241,107.24287,22.69319,0.027,0.084,bcu II,HSP,15.15,15.15,,0.996,0.0,0.825,-0.463,40.68,N,19.4,17.471,,0.36,1.25,Simbad
157.4043105,25.4264744,473,J0710.3+5908,1,Y,1H 0658+595,107.62528,59.13899,0.023,0.032,bll,HSP,16.94,16.991,0.125,0.999,0.899,0.966,-0.654,159.29,N,325.0,14.816,,0.19,1.14,Simbad
169.7822657,22.7680215,474,J0710.5+4732,0,Y,S4 0707+47,107.6921,47.53643,0.045,0.142,bll,ISP,14.05,14.41,1.292,0.995,0.917,0.0,1.268,1019.41,N,,14.131,,0.34,1.9,Simbad
275.3722085,-22.0525471,475,J0712.2-6436,0,Y,MRC 0712-643,108.25692,-64.48589,0.153,0.128,bcu II,LSP,13.244,13.244,,0.0,0.905,0.0,0.419,1399.0,S,4.48,19.894,,0.73,1.15,Simbad
166.6984685,23.8650217,476,J0712.6+5033,0,Y,GB6 J0712+5033,108.18201,50.55631,0.007,0.035,bll,LSP,13.225,13.402,0.502,1.0,0.919,0.0,-0.074,189.46,N,,19.16,,0.64,1.24,Simbad
197.6483429,13.590929,477,J0713.9+1933,0,N,MG2 J071354+1934,108.482,19.58345,0.028,0.039,fsrq,LSP,13.1,13.288,0.54,1.0,0.901,0.0,0.636,219.29,N,,18.746,,0.61,1.41,Simbad
254.9228211,-13.6503115,478,J0718.7-4319,0,Y,PMN J0718-4319,109.68178,-43.33048,0.006,0.022,bll,ISP,14.875,14.875,,1.0,0.884,0.904,,85.0,S,11.3,17.18,,0.41,1.4,Simbad
185.0453785,19.8534038,479,J0719.3+3307,0,Y,B2 0716+33,109.83092,33.11936,0.006,0.019,fsrq,ISP,13.83,14.08,0.779,1.0,0.947,0.88,0.112,226.14,N,6.11,17.924,,0.62,1.25,Simbad
252.0827791,-12.1708669,480,J0720.0-4010,0,Y,1RXS J071939.2-401153,109.91229,-40.1965,0.081,0.075,bcu II,HSP,15.8,15.8,,0.951,0.0,0.836,-0.747,64.9,S,54.5,17.185,,0.33,1.2,Simbad
143.9810411,28.0175558,481,J0721.9+7120,1,Y,S5 0716+71,110.4727,71.34343,0.006,0.009,bll,LSP,13.94,13.992,0.127,1.0,0.98,0.967,0.034,727.3,N,49.1,14.661,,0.43,1.5,Simbad
197.4121658,16.2258647,482,J0723.7+2050,0,Y,GB6 J0723+2051,110.95141,20.85856,0.024,0.09,bcu II,HSP,15.85,15.85,,0.996,0.0,0.0,-0.047,43.37,N,,17.102,,0.36,1.18,Simbad
189.5144293,19.326405,483,J0724.1+2857,0,Y,GB6 J0723+2859,110.97849,28.99163,0.057,0.136,fsrq,LSP,13.68,13.68,0.966,0.988,0.0,0.0,1.285,38.23,N,,19.275,,0.55,,Simbad
203.6439323,13.908589,484,J0725.2+1425,0,Y,4C +14.23,111.32003,14.42049,0.011,0.019,fsrq,ISP,13.85,14.159,1.038,1.0,0.975,0.0,1.15,1067.26,N,,17.84,17.84,0.71,1.36,Simbad
259.3898676,-14.1575756,485,J0726.6-4727,0,Y,PMN J0726-4728,111.60933,-47.48149,0.04,0.088,fsrq,LSP,13.12,13.549,1.686,0.999,0.907,0.0,1.298,492.0,S,,,,,,Simbad
169.5839423,25.7874672,486,J0728.0+4828,0,Y,GB6 J0727+4827,111.99933,48.45564,0.021,0.118,bcu II,ISP,14.54,14.54,,0.983,0.0,0.0,0.09,91.61,N,,18.172,,0.46,,Simbad
148.5937264,28.7042384,487,J0730.3+6720,0,N,GB6 J0731+6718,112.85585,67.31308,0.109,0.153,fsrq,LSP,13.18,13.248,0.17,0.99,0.0,0.0,0.883,56.83,N,,18.538,17.04,0.48,,Simbad
185.8717263,22.0479825,488,J0730.5+3307,0,Y,1RXS J073026.0+330727,112.6086,33.12303,0.016,0.046,bll,ISP,14.875,14.921,0.112,0.999,0.0,0.905,-0.497,9.3,N,33.9,18.307,17.36,0.31,0.98,Simbad
277.5915526,-20.7856843,489,J0730.5-6606,0,Y,PMN J0730-6602,112.7065,-66.03858,0.072,0.061,bcu II,HSP,15.25,15.25,,0.971,0.0,0.845,-0.869,81.3,S,59.8,15.132,,0.24,1.46,Simbad
259.1127682,-12.8406253,490,J0732.2-4638,0,Y,PKS 0731-465,113.18462,-46.67145,0.087,0.128,bcu II,LSP,13.32,13.32,,0.977,0.933,0.0,1.543,1403.0,S,27.1,20.27,,0.79,0.83,Simbad
165.9986977,27.3498104,491,J0733.5+5153,0,N,4C +52.17,113.41267,51.90584,0.017,0.083,agn,-,,,,0.0,0.936,0.0,-2.284,846.9,N,,20.23,,0.76,,Simbad
166.0003054,27.3175881,492,J0733.5+5153,0,N,NVSS J073326+515355,113.36163,51.89887,0.023,0.083,bcu III,-,,,,0.998,0.0,0.0,,25.0,N,,11.939,,-0.12,1.88,Simbad
177.6684594,25.0448164,493,J0733.8+4108,0,Y,GB6 J0733+4111,113.44557,41.18878,0.05,0.078,bll,ISP,14.325,14.548,0.67,0.995,0.0,0.0,-0.007,24.27,N,,17.757,17.74,0.34,,Simbad
167.7061731,27.1099627,494,J0733.8+5021,0,Y,TXS 0730+504,113.46884,50.36918,0.016,0.068,fsrq,LSP,13.06,13.296,0.72,0.999,0.94,0.0,0.871,770.17,N,,18.281,,0.74,1.26,Simbad
289.1317567,-24.0524837,495,J0734.3-7709,0,Y,PKS 0736-770,113.68092,-77.18708,0.035,0.051,bcu II,LSP,12.515,12.515,,0.999,0.883,0.0,0.836,211.6,S,,21.89,,0.85,1.19,Simbad
201.8464672,18.0705822,496,J0738.1+1741,0,Y,PKS 0735+17,114.53081,17.70528,0.009,0.017,bll,LSP,13.83,13.984,0.424,1.0,0.985,0.933,-0.127,2258.27,N,20.9,15.98,14.88,0.5,1.59,Simbad
216.9896678,11.3801767,497,J0739.4+0137,0,Y,PKS 0736+01,114.82514,1.61795,0.027,0.041,fsrq,ISP,14.05,14.125,0.18941,1.0,0.969,0.916,0.816,1964.91,N,63.6,16.226,,0.63,1.19,Simbad
293.8095224,-24.9680318,498,J0742.4-8133,0,Y,SUMSS J074220-813139,115.58808,-81.52672,0.032,0.06,bcu III,-,,,,0.989,0.0,0.0,,17.6,S,,19.767,,0.42,,Simbad
163.0373539,29.0919027,499,J0742.6+5444,0,Y,GB6 J0742+5444,115.66579,54.74019,0.007,0.022,fsrq,ISP,14.5,14.736,0.72,1.0,0.949,0.897,1.04,281.63,N,9.24,17.598,,0.6,1.22,Simbad
268.8114495,-15.5849741,500,J0742.6-5623,0,N,PMN J0743-5619,115.83535,-56.32582,0.111,0.329,fsrq,LSP,12.47,12.991,2.319,0.992,0.848,0.0,1.845,669.8,S,,19.436,,0.78,,Simbad
140.2656219,29.5692784,501,J0744.3+7434,0,Y,MS 0737.9+7441,116.0224,74.56618,0.023,0.052,bll,HSP,16.928,17.046,0.315,0.999,0.0,0.942,-0.86,23.41,N,136.0,17.071,,0.32,0.91,Simbad
194.5810552,22.891223,502,J0746.4+2540,0,Y,B2 0743+25,116.60781,25.81726,0.143,0.158,fsrq,LSP,12.2,12.8,2.979,0.911,0.806,0.0,3.858,427.09,N,8.26,19.471,19.47,0.78,0.89,Simbad
261.3488454,-11.301032,503,J0746.6-4756,0,Y,PMN J0746-4755,116.67558,-47.91531,0.023,0.039,bcu II,HSP,15.3,15.3,,0.998,0.858,0.0,0.045,106.7,S,,17.518,,0.42,1.5,Simbad
128.2155778,28.1863315,504,J0746.9+8511,0,Y,NVSS J074715+851208,116.8173,85.2024,0.009,0.048,bcu II,HSP,16.28,16.28,,0.999,0.0,0.852,-0.206,11.41,N,11.8,18.863,,0.37,1.1,Simbad
211.0242208,16.5253059,505,J0747.4+0904,0,Y,RX J0747.3+0905,116.84247,9.0968,0.038,0.065,bll,HSP,16.305,16.305,,0.999,0.0,0.881,,40.43,N,45.3,17.549,,0.38,1.03,Simbad
196.6077616,22.7183037,506,J0748.3+2401,0,Y,S3 0745+24,117.15046,24.0067,0.055,0.065,fsrq,LSP,12.97,13.119,0.40985,1.0,0.932,0.836,-0.6,958.09,N,30.1,18.342,18.15,0.76,0.97,Simbad
134.981352,29.384929,507,J0748.5+7910,0,Y,JVAS J0750+7909,117.68027,79.15472,0.105,0.162,bcu II,LSP,12.9,12.9,,0.943,0.0,0.0,-0.164,181.57,N,,,,,,Simbad
169.1137756,29.3079263,508,J0748.8+4929,0,Y,NVSS J074837+493040,117.15733,49.51139,0.047,0.162,bcu II,LSP,13.811,13.811,,0.971,0.0,0.0,0.337,35.41,N,,20.053,19.24,0.49,,Simbad
209.4955744,17.7898556,509,J0749.4+1059,0,Y,TXS 0746+110,117.36411,10.9592,0.025,0.128,bcu I,ISP,14.265,14.349,0.214,0.988,0.821,0.0,-0.164,199.05,N,,18.882,17.17,0.51,,Simbad
208.1605466,18.7605154,510,J0750.6+1232,0,Y,OI 280,117.71686,12.51801,0.047,0.068,fsrq,LSP,12.795,13.071,0.889,0.998,0.95,0.0,0.163,1486.98,N,,17.196,17.17,0.71,1.13,Simbad
164.1998109,30.5058602,511,J0753.1+5353,0,Y,4C +54.15,118.25577,53.88323,0.017,0.041,bll,LSP,13.28,13.28,,0.999,0.956,0.839,0.004,803.82,N,8.98,17.365,17.22,0.65,1.37,Simbad
170.5499834,30.1437217,512,J0754.8+4824,0,Y,GB1 0751+485,118.69029,48.39743,0.018,0.036,bll,LSP,13.7,13.839,0.37671,0.999,0.922,0.869,-0.287,265.06,N,12.2,17.003,16.37,0.44,1.45,Simbad
277.223459,-17.7253608,513,J0756.3-6433,0,Y,SUMSS J075625-643031,119.10253,-64.50847,0.056,0.064,bcu II,HSP,15.867,15.867,,1.0,0.0,0.0,-0.01,13.0,S,,18.09,,0.28,,Simbad
211.3115847,19.0569285,514,J0757.0+0956,0,Y,PKS 0754+100,119.27768,9.94301,0.006,0.035,bll,LSP,13.39,13.492,0.266,1.0,0.965,0.909,-0.624,957.04,N,22.8,16.501,14.64,0.43,1.61,Simbad
209.8204377,19.9925844,515,J0758.1+1130,0,Y,TXS 0755+117,119.53191,11.61279,0.11,0.126,fsrq,LSP,13.425,13.621,0.56879,0.97,0.844,0.0,-0.686,468.46,N,,16.027,16.87,0.58,,Simbad
182.6763503,28.8282606,516,J0758.7+3747,0,Y,NGC 2484,119.61712,37.78661,0.049,0.096,rdg,ISP,14.6,14.618,0.04284,0.99,0.96,0.0,,2721.87,N,8.23,9.188,12.22,0.27,2.18,Simbad
194.2780964,25.9212604,517,J0758.9+2705,0,Y,SDSS J075846.99+270515.5,119.69602,27.0875,0.028,0.082,bll,ISP,14.35,14.391,0.099,0.997,0.0,0.0,-0.278,54.25,N,,15.956,16.43,0.42,,Simbad
175.7593437,30.5649736,518,J0800.9+4401,0,Y,B3 0757+441,120.28448,44.01949,0.029,0.115,bll,LSP,13.46,13.46,,0.993,0.839,0.0,,228.78,N,,20.043,19.14,0.7,,Simbad
211.707274,20.2345277,519,J0802.0+1005,0,Y,NVSS J080204+100639,120.52034,10.11099,0.027,0.061,bll,HSP,15.48,15.745,0.84159,0.998,0.0,0.0,-0.432,6.67,N,,18.587,16.78,0.15,,Simbad
224.5992687,14.1802618,520,J0803.3-0339,0,Y,TXS 0800-034,120.80032,-3.60018,0.07,0.057,bcu II,HSP,15.7,15.7,,0.999,0.805,0.0,0.136,232.19,N,,18.463,,0.51,1.34,Simbad
217.3929784,18.0997271,521,J0804.4+0418,0,Y,MG1 J080357+0420,120.98519,4.35076,0.13,0.214,bcu II,LSP,12.875,12.875,,0.934,0.0,0.0,1.429,318.68,N,,18.621,19.14,0.67,,Simbad
227.3361775,13.1796309,522,J0805.0-0622,0,Y,1RXS J080458.3-062432,121.24051,-6.40739,0.035,0.06,bcu II,HSP,16.25,16.25,,0.0,0.0,0.913,-0.516,20.97,N,76.1,17.853,,0.32,0.98,Simbad
222.664501,15.7873492,523,J0805.2-0112,0,Y,PKS B0802-010,121.3037,-1.18717,0.029,0.076,fsrq,LSP,11.999,12.377,1.388,0.999,0.914,0.0,0.876,473.78,N,,18.181,16.75,0.57,1.39,Simbad
155.0461919,32.3511433,524,J0805.4+6144,0,Y,TXS 0800+618,121.32575,61.73992,0.016,0.106,fsrq,LSP,12.16,12.766,3.033,0.997,0.925,0.0,2.489,829.13,N,,19.649,,0.85,0.87,Simbad
138.8962101,30.7949363,525,J0805.4+7534,0,Y,RX J0805.4+7534,121.36103,75.57362,0.008,0.024,bll,HSP,15.35,15.4,0.121,1.0,0.894,0.955,-0.469,52.72,N,71.0,15.633,,0.27,1.17,Simbad
157.6729664,32.5522882,526,J0806.6+5933,0,Y,SBS 0802+596,121.60812,59.51859,0.051,0.078,bll,HSP,15.45,15.45,,0.992,0.0,0.87,,61.05,N,48.4,16.134,,0.28,1.28,Simbad
136.381273,30.4233754,527,J0807.1+7744,0,Y,NVSS J080637+774607,121.65586,77.76869,0.041,0.12,bcu II,LSP,12.527,12.527,,0.983,0.828,0.0,1.236,217.05,N,,20.48,,0.72,,Simbad
226.9730149,14.0119393,528,J0807.1-0541,0,Y,PKS 0804-05,121.79007,-5.6872,0.011,0.037,bll,ISP,14.6,14.6,,1.0,0.95,0.0,,545.47,N,,18.378,,0.7,1.33,Simbad
169.1639409,32.5645886,529,J0807.9+4946,0,N,OJ 508,122.16528,49.84348,0.129,0.196,fsrq,LSP,12.14,12.526,1.434,0.941,0.888,0.0,1.117,1115.08,N,,14.738,14.29,0.46,1.86,Simbad
169.2334971,32.4387696,530,J0807.9+4946,0,N,SDSS J080754.50+494627.6,121.9786,49.7745,0.012,0.196,fsrq,LSP,13.01,13.207,0.57531,0.933,0.834,0.0,0.991,385.52,N,,19.84,17.7,0.57,1.57,Simbad
229.0416536,13.1628161,531,J0808.2-0751,0,Y,PKS 0805-07,122.06473,-7.85275,0.007,0.016,fsrq,LSP,13.08,13.533,1.837,1.0,0.992,0.0,0.541,767.0,A,,17.15,17.06,0.68,1.39,Simbad
179.6569569,31.4451148,532,J0809.5+4045,0,Y,S4 0805+41,122.23605,40.87914,0.172,0.155,fsrq,LSP,12.41,12.793,1.418,0.929,0.805,0.0,0.993,584.56,N,,17.263,18.72,0.76,1.1,Simbad
164.6084442,32.9509676,533,J0809.5+5342,0,Y,87GB 080551.6+535010,122.42389,53.6903,0.025,0.087,fsrq,LSP,12.725,13.221,2.133,0.997,0.837,0.0,1.014,140.97,N,,,19.65,0.71,,Simbad
186.4780571,30.3492933,534,J0809.6+3456,0,Y,B2 0806+35,122.41203,34.92702,0.015,0.045,bll,HSP,15.5,15.535,0.083,0.999,0.908,0.942,-1.28,223.52,N,98.8,12.033,15.07,0.38,1.19,Simbad
166.245063,32.9103845,535,J0809.8+5218,1,Y,1ES 0806+524,122.45494,52.31618,0.008,0.015,bll,HSP,15.8,15.856,0.138,1.0,0.946,0.976,-0.247,182.94,N,178.0,15.006,14.93,0.33,1.21,Simbad
288.288226,-21.4477057,536,J0811.2-7529,0,Y,PMN J0810-7530,122.76336,-75.50773,0.02,0.023,bll,ISP,14.9,14.9,,1.0,0.898,0.873,,154.3,S,13.1,17.08,,0.42,1.41,Simbad
220.7063284,18.5689737,537,J0811.3+0146,0,Y,OJ 014,122.86128,1.78117,0.013,0.029,bll,LSP,12.895,13.227,1.148,1.0,0.958,0.0,0.524,599.5,N,,17.876,18.61,0.7,1.37,Simbad
219.9900815,19.0930565,538,J0812.0+0237,0,Y,PMN J0811+0237,123.00632,2.62569,0.003,0.049,bll,ISP,14.762,14.762,,0.999,0.885,0.956,,123.43,N,193.0,,16.21,0.35,1.02,Simbad
161.9700153,33.4455318,539,J0812.9+5555,0,Y,NVSS J081251+555422,123.21511,55.90632,0.031,0.078,bll,HSP,15.38,15.521,0.383,0.996,0.0,0.0,-0.44,27.01,N,,18.312,17.74,0.37,1.53,Simbad
150.9331163,32.9283442,540,J0813.3+6509,0,Y,GB6 J0812+6508,123.17117,65.15307,0.076,0.111,bcu II,HSP,16.25,16.25,,0.963,0.0,0.0,-0.298,30.99,N,,17.795,17.13,0.35,1.33,Simbad
231.8857269,13.2199394,541,J0814.1-1012,0,Y,NVSS J081411-101208,123.54872,-10.20286,0.007,0.043,bll,ISP,14.71,14.71,,1.0,0.828,0.935,,36.87,N,69.6,16.679,,0.28,1.17,Simbad
192.6473711,29.9625027,542,J0814.5+2943,0,Y,EXO 0811.2+2949,123.58849,29.67244,0.072,0.082,bll,HSP,16.195,16.514,1.08353,0.986,0.0,0.0,-0.346,28.83,N,,19.207,17.9,0.34,1.25,Simbad
151.6544466,33.2033255,543,J0814.7+6428,0,Y,GB6 J0814+6431,123.66329,64.52278,0.043,0.03,bll,LSP,13.425,13.518,0.239,0.916,0.0,0.0,0.033,88.78,N,,17.139,,0.51,1.47,Simbad
234.7975551,12.1218689,544,J0816.4-1311,0,Y,PMN J0816-1311,124.11335,-13.19795,0.008,0.022,bll,HSP,16.1,16.1,,1.0,0.911,0.975,,72.13,N,241.0,17.556,,0.43,0.81,Simbad
202.40925,27.7148628,545,J0816.5+2049,0,Y,SDSS J081649.78+205106.4,124.20742,20.85179,0.066,0.113,bll,ISP,14.82,14.82,,0.993,0.0,0.0,,38.82,N,,17.383,17.55,0.36,,Simbad
159.8619708,33.8967949,546,J0816.7+5739,0,Y,SBS 0812+578,124.0947,57.65254,0.048,0.043,bll,HSP,15.08,15.08,,0.964,0.807,0.872,,100.07,N,36.8,17.037,16.7,0.37,1.23,Simbad
231.7972209,14.3194933,547,J0817.8-0935,0,Y,TXS 0815-094,124.45729,-9.55848,0.033,0.038,bll,ISP,14.05,14.05,,0.999,0.928,0.0,,467.65,N,,18.18,,0.66,1.62,Simbad
178.227778,33.401987,548,J0818.2+4223,0,Y,S4 0814+42,124.56667,42.37928,0.02,0.018,bll,LSP,12.8,12.985,0.53,0.996,0.965,0.86,0.724,1091.34,N,7.85,18.405,17.39,0.68,1.36,Simbad
195.0905671,30.4742374,549,J0818.8+2751,0,Y,5C 07.119,124.82857,27.79186,0.119,0.167,bll,LSP,13.355,13.355,,0.953,0.0,0.0,,234.46,N,,19.075,18.18,0.6,,Simbad
185.0322268,32.8414001,550,J0820.4+3640,0,Y,MG2 J082018+3640,125.08412,36.66791,0.035,0.097,bll,LSP,13.445,13.445,,0.994,0.0,0.0,,94.38,N,,18.79,18.25,0.59,,Simbad
235.2090318,13.1648646,551,J0820.9-1258,0,Y,PKS 0818-128,125.23937,-12.9831,0.01,0.092,bll,ISP,14.72,14.72,,0.999,0.94,0.833,,1096.61,N,23.4,16.395,,0.57,1.37,Simbad
180.3789181,34.0337299,552,J0822.9+4041,0,Y,B3 0819+408,125.73982,40.69716,0.003,0.088,fsrq,LSP,13.075,13.346,0.8655,0.999,0.894,0.0,0.508,344.97,N,,19.412,18.75,0.69,1.24,Simbad
198.985609,30.6520861,553,J0824.1+2434,0,Y,B2 0821+24,126.13754,24.64531,0.115,0.139,fsrq,ISP,13.67,14.021,1.242,0.859,0.0,0.0,1.317,262.0,N,,19.263,18.47,0.67,,Simbad
182.1416064,34.1921019,554,J0824.9+3916,0,N,4C +39.23,126.23118,39.27831,0.014,0.097,fsrq,LSP,12.5,12.846,1.216,0.997,0.948,0.847,0.245,1481.4,N,30.4,17.458,17.37,0.71,1.04,Simbad
