_Glon,_Glat,recno,3FGL,VHE,CName,RAJ2000,DEJ2000,Sep,PosErr,SpCl,SEDCl,lognu,lognuRf,z,Prob,LR-RG,LR-XG,NED,FRad,n_FRad,FX,Simbad
161.8149745,2.3079697,41,J0503.4+4522,0,1RXS J050339.8+451715,75.91491,45.2832,0.098,0.086,bcu II,HSP,15.645,15.645,,,,0.844,NED,34.9,N,75.2,Simbad
175.6015975,-5.7069217,42,J0512.2+2918,0,B2 0509+29,78.17586,29.451,0.17,0.527,bcu III,-,,,,0.891,,,NED,204.0,N,19.5,Simbad
166.5014807,0.9160929,43,J0512.9+4038,0,B3 0509+406,78.21893,40.69545,0.054,0.073,bcu II,LSP,13.635,13.635,,0.999,0.933,,NED,877.0,N,,Simbad
162.9799518,4.4609181,44,J0517.4+4540,0,4C +45.08,79.37041,45.61802,0.05,0.154,fsrq,LSP,12.9,13.165,0.839,0.99,0.907,,NED,1336.0,N,,Simbad
177.8809597,-5.4648352,45,J0519.3+2746,0,4C +27.15,79.88761,27.73454,0.051,0.11,bcu III,-,,,,0.992,0.944,,NED,1702.0,N,,Simbad
183.6041578,-8.7083407,46,J0521.7+2113,1,TXS 0518+211,80.44152,21.21429,0.008,0.014,bll,ISP,14.335,14.38,0.108,1.0,0.969,0.961,NED,530.0,N,60.2,Simbad
166.0075859,4.0962727,47,J0526.0+4253,0,NVSS J052520+425520,81.3369,42.92225,0.14,0.15,bcu II,LSP,13.145,13.145,,0.942,,,NED,41.6,N,,Simbad
186.9649582,-8.9845731,48,J0528.3+1815,0,1RXS J052829.6+181657,82.12341,18.28188,0.048,0.06,bcu III,-,,,,,,0.929,NED,21.5,N,163.0,Simbad
162.1607469,8.2301178,49,J0533.2+4822,0,TXS 0529+483,83.31611,48.38134,0.007,0.031,fsrq,LSP,13.04,13.375,1.162,1.0,0.95,0.876,NED,435.0,N,10.8,Simbad
191.5973019,-8.6602626,50,J0539.8+1434,0,TXS 0536+145,84.92652,14.56266,0.031,0.071,fsrq,LSP,12.445,13.012,2.69,0.999,0.911,,NED,433.0,N,,Simbad
173.2060828,7.6502377,51,J0601.0+3837,0,B2 0557+38,90.26196,38.64144,0.017,0.053,bll,LSP,13.81,13.81,,,0.945,,NED,705.0,N,,Simbad
188.0688681,0.0389942,52,J0603.8+2155,0,4C +22.12,90.96482,21.99381,0.066,0.058,bcu II,LSP,13.25,13.25,,0.981,0.955,,NED,2772.0,N,,Simbad
183.6171518,4.539226,53,J0611.7+2759,0,GB6 J0611+2803,92.93284,28.06449,0.067,0.107,bcu III,-,,,,0.991,,,NED,22.2,N,,Simbad
185.7393156,5.6619979,54,J0620.4+2644,0,RX J0620.6+2644,95.16716,26.72524,0.044,0.063,bcu II,HSP,16.085,16.085,,,0.805,0.94,NED,82.6,N,214.0,Simbad
179.9331925,9.1438608,55,J0622.9+3326,0,B2 0619+33,95.71759,33.43622,0.014,0.018,bcu II,ISP,14.05,14.05,,0.999,0.938,,NED,240.0,N,,Simbad
182.3991572,8.0109824,56,J0623.3+3043,0,GB6 J0623+3045,95.81747,30.74889,0.025,0.065,bcu II,ISP,14.79,14.79,,0.996,0.8,,NED,52.2,N,,Simbad
192.5193421,4.8368192,57,J0631.2+2019,0,TXS 0628+203,97.75443,20.34978,0.05,0.106,bcu II,HSP,15.0,15.0,,0.99,0.862,,NED,317.0,N,,Simbad
223.2104317,-8.3100502,58,J0640.0-1252,0,TXS 0637-128,100.02993,-12.88761,0.015,0.04,bcu II,HSP,16.05,16.05,,0.998,0.915,0.967,NED,225.0,N,312.0,Simbad
214.8225018,-3.6562502,59,J0641.8-0319,0,TXS 0639-032,100.46305,-3.34683,0.029,0.142,bcu II,LSP,12.76,12.76,,0.987,0.92,,NED,820.0,N,,Simbad
204.0464789,2.3125899,60,J0643.2+0859,0,PMN J0643+0857,100.86019,8.96056,0.066,0.063,fsrq,LSP,13.0,13.275,0.882,0.975,,,NED,543.0,N,,Simbad
198.1672404,6.5811331,61,J0648.1+1606,0,1RXS J064814.1+160708,102.0579,16.11576,0.018,0.045,bcu II,HSP,16.3,16.3,,,,0.904,NED,25.0,N,34.6,Simbad
198.9869479,6.3277143,62,J0648.8+1516,0,RX J0648.7+1516,102.19854,15.27355,0.007,0.029,bll,HSP,15.85,15.922,0.179,1.0,0.892,0.976,NED,64.8,N,381.0,Simbad
228.5080583,-8.6186539,63,J0648.8-1740,0,TXS 0646-176,102.11874,-17.73484,0.109,0.155,fsrq,LSP,12.48,12.829,1.232,0.995,0.898,,NED,1046.0,N,,Simbad
227.7067976,-7.7185209,64,J0650.4-1636,0,PKS 0648-16,102.60242,-16.6277,0.019,0.094,bcu II,LSP,11.465,11.465,,0.998,0.954,,NED,1778.0,N,,Simbad
194.0447968,9.1965831,65,J0650.5+2055,0,1RXS J065033.9+205603,102.64681,20.93242,0.003,0.04,bcu II,HSP,15.65,15.65,,,,0.892,NED,6.9,N,18.2,Simbad
