_Glon,_Glat,recno,3FGL,VHE,CName,RAJ2000,DEJ2000,Sep,PosErr,SpCl,SEDCl,lognu,lognuRf,z,Prob,LR-RG,LR-XG,NED,FRad,n_FRad,FX,Simbad
358.6727742,-9.9394844,149,J1823.6-3453,0,NVSS J182338-345412,275.91079,-34.90334,0.009,0.024,bcu II,HSP,16.14,16.14,,1.0,0.925,0.983,NED,,,,Simbad
8.76966,-6.2004159,150,J1828.9-2417,0,1RXS J182853.8-241746,277.22879,-24.29344,0.015,0.053,bcu I,HSP,16.456,16.456,,,0.872,0.914,NED,,,,Simbad
36.1620996,7.6110066,151,J1830.1+0617,0,TXS 1827+062,277.52475,6.3211,0.032,0.045,fsrq,LSP,12.305,12.547,0.745,0.999,0.92,,NED,,,,Simbad
6.3358174,-7.9440239,152,J1831.0-2714,0,PMN J1831-2714,277.75019,-27.23505,0.012,0.114,bcu III,-,,,,0.994,0.81,,NED,,,,Simbad
12.1655694,-5.7116238,153,J1833.6-2103,0,PKS 1830-211,278.41619,-21.06126,0.007,0.014,fsrq,LSP,12.585,13.13,2.507,1.0,0.994,0.939,NED,,,,Simbad
43.5663111,9.7058386,154,J1835.4+1349,0,TXS 1833+137,278.8973,13.81354,0.039,0.118,bcu III,-,,,,0.991,,,NED,,,,Simbad
46.3003593,8.6390537,155,J1844.3+1547,0,NVSS J184425+154646,281.10567,15.7794,0.022,0.039,bcu II,ISP,14.708,14.708,,0.998,0.867,,NED,,,,Simbad
17.6755764,-7.114932,156,J1849.3-1645,0,1RXS J184919.7-164726,282.3311,-16.78999,0.026,0.053,bcu III,-,,,,,,0.907,NED,,,,Simbad
33.6035489,-4.4807545,157,J1908.8-0130,0,NVSS J190836-012642,287.15393,-1.44532,0.086,0.074,bcu II,LSP,11.782,11.782,,0.996,,,NED,,,,Simbad
60.9728546,8.898323,158,J1910.8+2855,0,1RXS J191053.2+285622,287.71764,28.93926,0.012,0.048,bcu II,HSP,16.91,16.91,,,,0.942,NED,,,,Simbad
28.0456334,-8.2469785,159,J1912.0-0804,0,PMN J1912-0804,288.0297,-8.07275,0.01,0.077,bcu II,HSP,15.05,15.05,,0.999,0.905,,NED,,,,Simbad
61.7850986,5.8195162,160,J1924.9+2817,0,NVSS J192502+281542,291.25942,28.26172,0.043,0.056,bcu II,HSP,15.85,15.85,,,0.8,0.906,NED,,,,Simbad
47.9089333,-1.7748547,161,J1925.7+1228,0,TXS 1923+123,291.42007,12.46058,0.011,0.115,bcu III,-,,,,0.992,0.808,,NED,,,,Simbad
46.0467442,-4.3061392,162,J1931.1+0937,0,RX J1931.1+0937,292.78819,9.62119,0.01,0.02,bll,HSP,16.15,16.15,,1.0,0.86,0.98,NED,,,,Simbad
44.3788622,-5.8201116,163,J1933.4+0727,0,1RXS J193320.3+072616,293.33459,7.43941,0.03,0.074,bcu II,HSP,15.98,15.98,,0.998,0.823,0.899,NED,,,,Simbad
48.2572986,-6.3650279,164,J1942.7+1033,0,1RXS J194246.3+103339,295.69785,10.55753,0.009,0.023,bcu II,HSP,15.435,15.435,,1.0,0.917,0.958,NED,,,,Simbad
51.3528672,-6.3471833,165,J1949.0+1312,0,87GB 194635.4+130713,297.23037,13.244,0.043,0.051,bcu II,HSP,15.45,15.45,,,0.836,,NED,,,,Simbad
52.7561502,-7.3008353,166,J1955.1+1357,0,87GB 195252.4+135009,298.79821,13.97118,0.017,0.052,fsrq,LSP,12.865,13.106,0.743,1.0,0.885,,NED,,,,Simbad
77.526375,6.4483522,167,J2000.1+4212,0,MG4 J195957+4213,299.99487,42.22965,0.032,0.063,bcu II,LSP,12.55,12.55,,0.997,0.897,,NED,,,,Simbad
79.0673269,7.1098294,168,J2001.1+4352,1,MG4 J200112+4352,300.30364,43.88134,0.005,0.012,bll,HSP,15.205,15.205,,1.0,0.944,,NED,,,,Simbad
82.3121922,6.8582845,169,J2012.0+4629,0,7C 2010+4619,303.02349,46.48216,0.02,0.026,bll,ISP,14.958,14.958,,1.0,0.954,0.967,NED,,,,Simbad
74.8664489,1.2238381,170,J2015.6+3709,0,MG2 J201534+3710,303.86971,37.1832,0.038,0.027,fsrq,LSP,12.743,13.012,0.859,0.994,0.961,,NED,,,,Simbad
76.5878146,1.6631223,171,J2018.5+3851,0,TXS 2016+386,304.62927,38.85538,0.005,0.048,bcu II,LSP,13.508,13.508,,0.998,0.91,,NED,,,,Simbad
71.4015022,-3.098906,172,J2023.2+3154,0,4C +31.56,305.82924,31.88397,0.028,0.09,bcu I,LSP,13.382,13.514,0.356,0.998,0.967,,NED,,,,Simbad
73.1291483,-2.3678528,173,J2025.2+3340,0,B2 2023+33,306.29518,33.71673,0.053,0.052,bcu I,LSP,12.305,12.391,0.219,0.999,0.942,,NED,,,,Simbad
86.4348781,6.0795891,174,J2029.4+4923,0,MG4 J202932+4925,307.41614,49.43949,0.055,0.058,bll,LSP,13.32,13.32,,0.968,,,NED,,,,Simbad
88.8085245,6.0401006,175,J2038.8+5113,0,3C 418,309.65431,51.32018,0.104,0.11,fsrq,LSP,12.48,12.909,1.686,0.996,0.962,,NED,,,,Simbad
89.6927671,6.5526627,176,J2039.5+5217,0,1ES 2037+521,309.84799,52.33056,0.043,0.062,bll,HSP,16.448,16.47,0.053,1.0,,0.895,NED,,,,Simbad
89.3211892,2.7624485,177,J2056.7+4938,0,RGB J2056+496,314.17808,49.6685,0.027,0.027,bcu II,HSP,15.742,15.742,,0.995,0.894,0.957,NED,,,,Simbad
81.114163,-7.215522,178,J2108.0+3654,0,TXS 2106+367,317.02275,36.92404,0.018,0.059,bcu II,ISP,14.86,14.86,,,0.837,,NED,,,,Simbad
80.2816858,-8.353014,179,J2110.3+3540,0,B2 2107+35A,317.38283,35.54933,0.203,0.246,bcu II,ISP,14.048,14.048,,0.989,0.862,0.836,NED,,,,Simbad
97.6497803,-3.5324673,180,J2201.7+5047,0,NRAO 676,330.43141,50.81566,0.016,0.042,fsrq,LSP,12.515,12.977,1.899,1.0,0.955,,NED,,,,Simbad
112.8914205,-9.9077489,181,J2347.0+5142,1,1ES 2344+514,356.77015,51.70497,0.005,0.018,bll,HSP,15.85,15.869,0.044,1.0,0.953,0.98,NED,,,,Simbad
113.7372985,-7.1257023,182,J2347.9+5436,0,NVSS J234753+543627,356.97138,54.60754,0.007,0.066,bcu II,HSP,16.4,16.4,,,,0.925,NED,,,,Simbad
